#,id,name,url
1,1,Психология,genre1
2,2,Поэзия,genre1_0
3,3,Проза,genre1_1
4,4,Фантастика,genre1_2
5,5,Фэнтези,genre1_3
6,6,Детективы,genre1_4
7,7,Приключения,genre1_5
8,8,Биографии,genre1_6
9,9,Романы,genre1_7
10,10,Драматургия,genre1_8
11,11,Графические романы и манга,genre1_10
